id,ts_open,ts_open_utc,symbol,direction,alert_type,strategy,is_shadow,status,ts_close,ts_close_utc,entry_price,sl_price,tp_price,exit_price,result_r,outcome,btc_candle_ts,btc_candle_ts_utc,btc_close,btc_ema50,trend_regime,regime_reason
1585,1786594409,2026-08-13T04:13:29+00:00,SKDDUSDT,LONG,oversold_24h,oversold_24h,0,tp,1786607476,2026-08-13T07:51:16+00:00,11.668,11.376299999999999,12.13472,12.13472,1.5999999999999988,win,1786579200,2026-08-13T00:00:00+00:00,63620.0,64178.71955929352,bear,close_vs_ema50
1586,1786594604,2026-08-13T04:16:44+00:00,AMATUSDT,LONG,confluence,confluence,1,sl,1786623532,2026-08-13T12:18:52+00:00,557.5,546.0533225377412,580.3933549245176,546.0533225377412,-1.0,loss,1786579200,2026-08-13T00:00:00+00:00,63620.0,64178.71955929352,bear,close_vs_ema50
1587,1786594720,2026-08-13T04:18:40+00:00,MOVRUSDT,LONG,oversold_24h,oversold_24h,0,sl,1786717067,2026-08-14T14:17:47+00:00,0.815,0.7332286759506594,0.9785426480986811,0.73,-1.0394842077977273,loss,1786579200,2026-08-13T00:00:00+00:00,63620.0,64178.71955929352,bear,close_vs_ema50
1588,1786595104,2026-08-13T04:25:04+00:00,CRDOUSDT,LONG,streak_1h,streak_1h,0,sl,1786714346,2026-08-14T13:32:26+00:00,270.48,262.61472472529385,286.2105505494124,261.69,-1.1175705481367788,loss,1786579200,2026-08-13T00:00:00+00:00,63620.0,64178.71955929352,bear,close_vs_ema50
1589,1786595450,2026-08-13T04:30:50+00:00,AIOUSDT,SHORT,confluence,confluence,1,sl,1786734006,2026-08-14T19:00:06+00:00,0.04402,0.047541599999999996,0.0369768,0.047541599999999996,-1.0,loss,1786579200,2026-08-13T00:00:00+00:00,63620.0,64178.71955929352,bear,close_vs_ema50
1590,1786596053,2026-08-13T04:40:53+00:00,SEIUSDT,SHORT,confluence,confluence,1,tp,1786916554,2026-08-16T21:42:34+00:00,0.04145,0.042556626981196284,0.039236746037607434,0.03921,2.024168972979964,win,1786579200,2026-08-13T00:00:00+00:00,63620.0,64178.71955929352,bear,close_vs_ema50
1591,1786601248,2026-08-13T06:07:28+00:00,FHEUSDT,LONG,oversold_24h,oversold_24h,0,sl,1786617748,2026-08-13T10:42:28+00:00,0.02483,0.02420925,0.0258232,0.02413,-1.1276681433749545,loss,1786579200,2026-08-13T00:00:00+00:00,63620.0,64178.71955929352,bear,close_vs_ema50
1592,1786601255,2026-08-13T06:07:35+00:00,USUSDT,LONG,oversold_24h,oversold_24h,0,tp,1786601830,2026-08-13T06:17:10+00:00,0.025464,0.0248274,0.026482560000000002,0.026655,1.8708765315739855,win,1786579200,2026-08-13T00:00:00+00:00,63620.0,64178.71955929352,bear,close_vs_ema50
1593,1786601435,2026-08-13T06:10:35+00:00,ACUUSDT,LONG,confluence,confluence,1,sl,1786602777,2026-08-13T06:32:57+00:00,0.13993,0.1294416958833388,0.16090660823332242,0.12644,-1.2861945887486654,loss,1786579200,2026-08-13T00:00:00+00:00,63620.0,64178.71955929352,bear,close_vs_ema50
1594,1786601435,2026-08-13T06:10:35+00:00,STGUSDT,LONG,confluence,confluence,1,tp,1787309728,2026-08-21T10:55:28+00:00,0.1437,0.13623476022188077,0.15863047955623844,0.1588,2.022707970380058,win,1786579200,2026-08-13T00:00:00+00:00,63620.0,64178.71955929352,bear,close_vs_ema50
1595,1786601435,2026-08-13T06:10:35+00:00,NIGHTUSDT,SHORT,confluence,confluence,1,sl,1787152627,2026-08-19T15:17:07+00:00,0.01813,0.018959281333859813,0.016471437332280375,0.019,-1.0491011487629482,loss,1786579200,2026-08-13T00:00:00+00:00,63620.0,64178.71955929352,bear,close_vs_ema50
1596,1786601557,2026-08-13T06:12:37+00:00,ICXUSDT,LONG,oversold_24h,oversold_24h,0,sl,1786697579,2026-08-14T08:52:59+00:00,0.01927,0.01834925673719305,0.0211114865256139,0.0183,-1.0534967120398884,loss,1786579200,2026-08-13T00:00:00+00:00,63620.0,64178.71955929352,bear,close_vs_ema50
1597,1786601852,2026-08-13T06:17:32+00:00,ACUUSDT,SHORT,pump_24h_fade,pump_24h_fade,1,tp,1786680555,2026-08-14T04:09:15+00:00,0.13482,0.1488044054888816,0.10685118902223678,0.10193,2.3519054868760345,win,1786579200,2026-08-13T00:00:00+00:00,63620.0,64178.71955929352,bear,close_vs_ema50
1598,1786601974,2026-08-13T06:19:34+00:00,TRIAUSDT,SHORT,confluence,confluence,1,sl,1787078374,2026-08-18T18:39:34+00:00,0.00849,0.008865643713341191,0.007738712573317616,0.00904,-1.4641533465527292,loss,1786579200,2026-08-13T00:00:00+00:00,63620.0,64178.71955929352,bear,close_vs_ema50
1599,1786601978,2026-08-13T06:19:38+00:00,BLUAIUSDT,SHORT,confluence,confluence,0,sl,1786603222,2026-08-13T06:40:22+00:00,0.01324,0.014299200000000001,0.011121599999999997,0.01457,-1.2556646525679738,loss,1786579200,2026-08-13T00:00:00+00:00,63620.0,64178.71955929352,bear,close_vs_ema50
1600,1786602581,2026-08-13T06:29:41+00:00,UPUSDT,LONG,confluence,confluence,1,tp,1786780582,2026-08-15T07:56:22+00:00,0.3938,0.38307613602605495,0.41524772794789006,0.4186,2.312599270212186,win,1786579200,2026-08-13T00:00:00+00:00,63620.0,64178.71955929352,bear,close_vs_ema50
