id,symbol,original_direction,tested_direction,entry,new_sl,new_tp,outcome,exit_ts,r,reason
1821,PTBUSDT,SHORT,LONG,0.0008334,0.0008144069306930693,0.0008713861386138613,sl_first,1786711500,-1.0,stop_touch
1822,MOODENGUSDT,SHORT,LONG,0.03543,0.035110495049504954,0.0360690099009901,tp_first,1786725900,1.0,target_touch
1828,INTCUSDT,LONG,SHORT,106.56,107.55257425742575,104.57485148514851,tp_first,1786715100,1.0,target_touch
1829,GDXUSDT,LONG,SHORT,89.0,89.7159405940594,87.56811881188119,sl_first,1786711500,-1.0,stop_touch
1830,BLURUSDT,SHORT,LONG,0.01288,0.01278029702970297,0.013079405940594062,tp_first,1786724100,1.0,target_touch
1831,IOTXUSDT,LONG,SHORT,0.00263,0.0026803663366336632,0.0025292673267326734,sl_first,1786704300,-1.0,stop_touch
1832,TWTUSDT,SHORT,LONG,0.4017,0.3984950495049505,0.408109900990099,sl_first,1786704300,-1.0,stop_touch
1833,TQQQXUSDT,LONG,SHORT,77.49,77.95465346534652,76.56069306930694,sl_first,1786716000,-1.0,stop_touch
1834,RENDERUSDT,SHORT,LONG,1.2442,1.235208910891089,1.2621821782178217,tp_first,1786752900,1.0,target_touch
1838,UPUSDT,SHORT,LONG,0.391,0.38695742574257425,0.39908514851485155,tp_first,1786741200,1.0,target_touch
1839,FHEUSDT,SHORT,LONG,0.02473,0.02390148514851485,0.026387029702970296,sl_first,1786710600,-1.0,stop_touch
1840,MUUSDT,LONG,SHORT,977.45,986.789801980198,958.7703960396041,sl_first,1786713300,-1.0,stop_touch
1841,ADAUSDT,SHORT,LONG,0.1792,0.1776811881188119,0.1822376237623762,unresolved,1786793400,-0.5267275097783594,window_close
1842,MUUUSDT,LONG,SHORT,32.71,33.270594059405944,31.588811881188114,sl_first,1786713300,-1.0,stop_touch
1843,ICPUSDT,LONG,SHORT,2.207,2.2309405940594056,2.1591188118811884,sl_first,1786740300,-1.0,stop_touch
1844,OPGUSDT,LONG,SHORT,0.0931,0.09419207920792079,0.09091584158415843,sl_first,1786778100,-1.0,stop_touch
1845,UNIUSDT,SHORT,LONG,3.389,3.350089108910891,3.4668217821782172,sl_first,1786707900,-1.0,stop_touch
1848,SPCHUSDT,LONG,SHORT,9.622,9.82577358490566,9.21445283018868,tp_first,1786715100,1.0,target_touch
1853,AXTIUSDT,LONG,SHORT,79.39,81.13445544554456,75.90108910891088,sl_first,1786715100,-1.0,stop_touch
1854,KORUUSDT,LONG,SHORT,22.516,22.90319801980198,21.741603960396034,sl_first,1786716900,-1.0,stop_touch
1855,SPCXUSDT,LONG,SHORT,143.73,145.4010891089109,140.38782178217818,tp_first,1786715100,1.0,target_touch
1856,SAMSUNGUSDT,LONG,SHORT,195.57,197.5380198019802,191.63396039603958,tp_first,1786715100,1.0,target_touch
1862,XMRUSDT,LONG,SHORT,401.44,404.7085148514851,394.90297029702975,tp_first,1786735800,1.0,target_touch
1863,XPTUSDT,LONG,SHORT,1742.34,1752.3213861386137,1722.3772277227724,sl_first,1786720500,-1.0,stop_touch
1864,RATSUSDT,LONG,SHORT,3.942e-05,4.021851485148515e-05,3.78229702970297e-05,sl_first,1786716000,-1.0,stop_touch
1865,DELLUSDT,SHORT,LONG,490.46,485.16128712871284,501.05742574257425,unresolved,1786800600,0.8001943307733996,window_close
1866,XRPUSDT,SHORT,LONG,1.0008,0.9957643564356435,1.0108712871287127,sl_first,1786744800,-1.0,stop_touch
1867,ACTUSDT,LONG,SHORT,0.00993,0.01017049504950495,0.009449009900990098,sl_first,1786735800,-1.0,stop_touch
1868,BCHUSDT,SHORT,LONG,202.97,201.90227722772278,205.10544554455444,sl_first,1786716900,-1.0,stop_touch
1870,APPUSDT,LONG,SHORT,323.0,326.18316831683165,316.6336633663367,tp_first,1786732200,1.0,target_touch
1871,BSPUSDT,LONG,SHORT,41.59,42.92693069306931,38.91613861386139,tp_first,1786738500,1.0,target_touch
1872,MRVLUSDT,SHORT,LONG,219.75,217.29623762376238,224.65752475247524,sl_first,1786721400,-1.0,stop_touch
1873,SMCIUSDT,LONG,SHORT,40.3,40.90564356435643,39.08871287128713,tp_first,1786722300,1.0,target_touch
1874,SNOWUSDT,SHORT,LONG,331.88,328.8479207920792,337.94415841584157,sl_first,1786716900,-1.0,stop_touch
1875,MVLLUSDT,SHORT,LONG,27.12,26.536336633663367,28.287326732673268,sl_first,1786721400,-1.0,stop_touch
1876,SANDUSDT,LONG,SHORT,0.03914,0.03940960396039604,0.03860079207920792,sl_first,1786722300,-1.0,stop_touch
1877,CRWVUSDT,SHORT,LONG,105.5,103.8039603960396,108.8920792079208,sl_first,1786717800,-1.0,stop_touch
1878,IRENUSDT,LONG,SHORT,45.61,46.27158415841584,44.286831683168316,tp_first,1786721400,1.0,target_touch
1879,SQDUSDT,SHORT,LONG,0.04321,0.04115267326732673,0.04732465346534653,unresolved,1786803300,0.4228788680879747,window_close
1880,CSCOUSDT,SHORT,LONG,111.33,110.42118811881188,113.14762376237623,sl_first,1786721400,-1.0,stop_touch
1881,BICOUSDT,SHORT,LONG,0.02579,0.024034950495049504,0.029300099009900993,sl_first,1786727700,-1.0,stop_touch
1882,SHAZUSDT,LONG,SHORT,73.66,74.85257425742574,71.2748514851485,tp_first,1786722300,1.0,target_touch
